id,pillar_1,pillar_2,shortname_raw,shortname_scaled,metric_name,Definition,source
1,Research and Development,Conference Publications,num_AIconf_papers,num_AIconf_papers_scaled,Number of AI Conference Papers*,Total count of published AI conference papers attributed to institutions in the given country. ,Microsoft Academic Graph (MAG)
2,Research and Development,Conference Publications,num_AIconf_papers_pc,num_AIconf_papers_pc_scaled,Number of AI Conference Papers Per Capita,Total count of published AI conference papers attributed to institutions in the given country in per capita terms. The denominator is population (in ten million) for a given year to obtain scaled values.,Microsoft Academic Graph (MAG)
3,Research and Development,Conference Publications,num_AIconf_citation,num_AIconf_citation_scaled,Number of AI Conference Citations*,Total count of AI conference citations attributed to institutions in the given country.,Microsoft Academic Graph (MAG)
4,Research and Development,Conference Publications,num_AIconf_citation_pc,num_AIconf_citation_pc_scaled,Number of AI Conference Citations Per Capita,Total count of AI conference citations attributed to institutions in the given country in per capita terms. The denominator is population (in ten million) for a given year to obtain scaled values.,Microsoft Academic Graph (MAG)
5,Research and Development,Journal Publications,num_AIjournal_papers,num_AIjournal_papers_scaled,Number of AI Journal Papers*,Total count of published AI journal papers attributed to institutions in the given country. ,Microsoft Academic Graph (MAG)
6,Research and Development,Journal Publications,num_AIjournal_papers_pc,num_AIjournal_papers_pc_scaled,Number of AI Journal Papers Per Capita,Total count of published AI journal papers attributed to institutions in the given country in per capita terms. The denominator is population (in ten million) for a given year to obtain scaled values.,Microsoft Academic Graph (MAG)
7,Research and Development,Journal Publications,num_AIjournal_citation,num_AIjournal_citation_scaled,Number of AI  Journal Citations*,Total count of AI journal citations attributed to institutions in the given country.,Microsoft Academic Graph (MAG)
8,Research and Development,Journal Publications,num_AIjournal_citation_pc,num_AIjournal_citation_pc_scaled,Number of AI Journal Citations Per Capita,Total count of AI journal citations attributed to institutions in the given country in per capita terms. The denominator is population in (in ten million) for a given year to obtain scaled values.,Microsoft Academic Graph (MAG)
9,Research and Development,Innovation > Patents,num_AIpatents_papers,num_AIpatents_papers_scaled,Number of AI Patents*,Total count of published AI patents attributed to institutions in the given country. ,Microsoft Academic Graph (MAG)
10,Research and Development,Innovation > Patents,num_AIpatents_papers_pc,num_AIpatents_papers_pc_scaled,Number of AI Patents Per Capita,Total count of published AI patents attributed to institutions in the given country in per capita terms. The denominator is population (in ten million) for a given year to obtain scaled values.,Microsoft Academic Graph (MAG)
11,Research and Development,Innovation > Patents,num_AIpatents_citation,num_AIpatents_citation_scaled,Number of AI Patent Citations*,Total count of published AI patents citations attributed to institutions of originating patent filing. ,Microsoft Academic Graph (MAG)
12,Research and Development,Innovation > Patents,num_AIpatents_citation_pc,num_AIpatents_citation_pc_scaled,Number of AI Patent Citations Per Capita,"Total count of published AI patent citations attributed to institutions in the given country of originating patent filing, in per capita terms. The denominator is population in millions for a given year to obtain scaled values.",Microsoft Academic Graph (MAG)
13,Research and Development,Journal Publications > Deep Learning,num_DL_papers,num_DL_papers_scaled,Number of Deep Learning Papers*,Total count of arXiv papers on Deep Learning attributed to institutions in the given country. ,"arXiv, NESTA"
14,Research and Development,Journal Publications > Deep Learning,num_DL_papers_pc,num_DL_papers_pc_scaled,Number of Deep Learning Papers Per Capita,Total count of arXiv papers on Deep Learning attributed to institutions in the given country in per capita terms. The denominator is population (in ten million) for a given year to obtain scaled values.,"arXiv, NESTA"
15,Economy,Skills,skill_penetration,skill_penetration_scaled,Relative Skill Penetration,"Relative skill penetration rate (this is a method to compare how prevalent AI skills are at the average occupation in each country against a benchmark (here the global average), controlling for the same set of occupations",LinkedIn Economic Graph
16,Economy,Labor,ai_hiring_index,ai_hiring_index_scaled,AI Hiring Index,"AI hiring rate is the percentage of LinkedIn members who had any AI skills (see appendix for the AI skill grouping) on their profile and added a new employer to their profile in the same month the new job began, divided by the total number of LinkedIn members in the country. This rate is then indexed to the average month in 2015-2016; for example, an index of 1.05 indicates a hiring rate that is 5% higher than the average month in 2015-2016.",LinkedIn Economic Graph
17,Economy,Investment,ai_privateinvestment_tot,ai_privateinvestment_tot_scaled,Total AI Private Investment*,Total amount of Private Investment Funding received for AI startups (nominal US$).,"Crunchbase, CapIQ, NetBase Quid"
18,Economy,Investment,ai_privateinvestment_pc,ai_privateinvestment_pc_scaled,AI Private Investment Per Capita,Total amount of Private Investment Funding received for AI startups in per capita terms. The denominator is population (in ten million) for a given year to obtain appropriately scaled values.,"Crunchbase, CapIQ, NetBase Quid"
19,Economy,Investment,num_AIstartups,num_AIstartups_scaled,Number of Companies Funded*,Total number of AI companies founded in the given country. ,"Crunchbase, CapIQ, NetBase Quid"
20,Economy,Investment,num_AIstartups_pc,num_AIstartups_pc_scaled,Number of Companies Funded Per Capita,Total number of AI companies founded in the given country in per capita terms. ,"Crunchbase, CapIQ, NetBase Quid"
21,Inclusion,Gender Diversity,female_ai_skill_penetration,female_ai_skill_penetration_scaled,AI Skill Penetration (Female),"Relative skill penetration rate (this is a method to compare how prevalent AI skills are at the average occupation in each country against a benchmark (here the global average), controlling for the same set of occupations. The female AI skill penetration measure is a relative measure of female AI skill penetration in a country to global female AI skill penetration. ",LinkedIn Economic Graph
22,Inclusion,Gender Diversity,num_AIocc_fem,num_AIocc_fem_scaled,"Number of Unique AI Occupations (Job Titles), Female",Number of unique AI occupations (or job titles) with high AI skill penetration for females in a given country. ,LinkedIn Economic Graph